ProductoID	Nombre	Precio	Stock	ProveedorID
199	Café	5.49	309	7
200	Mermelada de naranja	11.17	135	7
201	Televisor Pantalla Plana 70	743.49	10	21
202	Televisor 60	600.65	5	21
203	Televisor Pantalla Plana 65	705.53	6	21
204	Televisor Pantalla Plana 40	395.49	10	21
205	Televisor Pantalla Plana 40	309.87	12	21
206	Televisor 55	580.55	10	21
207	LG Televisor 55	581.66	10	21
208	Refrigeradora	214.37	20	21
209	Lavadora	377.58	25	21
210	Microondas	171.26	22	21
211	Licuadora	107.46	12	21
212	Cafetera	194.9	65	21
213	Aspiradora	241.62	52	21
