PedidoID	ClienteID	EmpleadoID	FechaPedido	Estado
154	185	15	2022-12-21	Enviado
155	125	18	2021-02-27	Enviado
156	33	49	2024-04-12	Pendiente
157	152	9	2025-01-05	Cancelado
158	73	12	2023-09-04	Completado
159	179	46	2024-07-31	Completado
160	15	19	2023-10-20	Pendiente
161	42	49	2021-04-11	Enviado
162	164	28	2024-11-19	Enviado
163	182	3	2023-10-04	Enviado
164	175	20	2020-10-24	Enviado
165	174	33	2023-03-29	Completado
166	135	25	2021-05-27	Completado
167	7	8	2020-07-21	Cancelado
168	47	47	2020-09-06	Pendiente
169	13	31	2024-03-22	Enviado
170	141	15	2022-11-11	Pendiente
171	88	8	2024-12-31	Pendiente
172	14	29	2023-10-21	Completado
173	188	48	2021-08-04	Completado
174	7	12	2022-05-06	Enviado
175	153	22	2021-12-31	Pendiente
176	59	5	2022-09-02	Cancelado
177	126	8	2023-08-12	Pendiente
178	92	27	2020-11-17	Completado
179	22	6	2024-05-16	Pendiente
180	18	36	2024-07-12	Pendiente
181	1	25	2020-11-22	Pendiente
182	197	24	2022-08-27	Enviado
183	68	49	2023-11-09	Pendiente
184	198	38	2021-03-15	Completado
185	120	39	2022-07-12	Cancelado
186	77	15	2022-11-30	Enviado
187	139	24	2024-10-06	Completado
188	83	47	2020-07-03	Enviado
189	110	34	2021-08-28	Enviado
190	138	37	2022-12-24	Cancelado
191	96	22	2024-12-31	Cancelado
192	111	19	2021-09-17	Enviado
193	155	34	2021-09-06	Enviado
194	39	43	2023-06-10	Cancelado
195	45	25	2020-12-30	Pendiente
196	46	48	2020-10-27	Pendiente
197	171	39	2024-04-20	Pendiente
198	61	17	2024-09-14	Pendiente
199	117	29	2022-06-05	Cancelado
200	154	41	2020-05-28	Completado
